iter	RMSE
0	0.2251414459
1	0.2242158717
2	0.2231757722
3	0.2222764441
4	0.2215804818
5	0.2210662151
6	0.2202495377
7	0.2199377003
8	0.2194603147
9	0.2191767067
10	0.2187861133
11	0.2181782916
12	0.2176794756
13	0.2172618719
14	0.2170975931
15	0.2168243886
16	0.2166183596
17	0.216337862
18	0.2161645003
19	0.2159777552
20	0.215668574
21	0.2155055439
22	0.2153841612
23	0.2151276648
24	0.2150141472
25	0.2147892621
26	0.2145185041
27	0.2144260874
28	0.214276637
29	0.2141836184
30	0.2139349171
31	0.2138526399
32	0.2137775236
33	0.2136515893
34	0.2135968202
35	0.2133715006
36	0.2131415163
37	0.2130056881
38	0.2129518735
39	0.2128825182
40	0.2127356008
41	0.2126818707
42	0.2125875024
43	0.2125131475
44	0.2123787588
45	0.2122684656
46	0.2122207563
47	0.2121634029
48	0.2119720619
49	0.2118786021
50	0.2117473784
51	0.2116920743
52	0.2116191654
53	0.2115396581
54	0.2114497696
55	0.2113907805
56	0.2113353
57	0.2112759364
58	0.211203316
59	0.2111239643
60	0.211075129
61	0.2110244047
62	0.2108932916
63	0.2108326429
64	0.2108133772
65	0.2107476082
66	0.2106683593
67	0.2105629142
68	0.2104845577
69	0.2104002031
70	0.2102999426
71	0.2102689531
72	0.2101785002
73	0.210139313
74	0.2100897836
75	0.2100356038
76	0.209982534
77	0.2098966345
78	0.2098625997
79	0.209771002
80	0.2097189935
81	0.2096538473
82	0.2096067008
83	0.2095189554
84	0.2094558748
85	0.2093989558
86	0.209347487
87	0.2092590179
88	0.2091954825
89	0.2091266571
90	0.2090919342
91	0.2090417244
92	0.208968549
93	0.2088813089
94	0.208754752
95	0.2087263905
96	0.2086544666
97	0.2085950388
98	0.2085027624
99	0.2084498374
100	0.2084121383
101	0.208335944
102	0.2082413594
103	0.2081813621
104	0.2081360876
105	0.2081078669
106	0.2080496693
107	0.2079823445
108	0.2079437977
109	0.207894723
110	0.2078423952
111	0.2078051509
112	0.2076963839
113	0.2076682079
114	0.2076270325
115	0.2075812691
116	0.2075162082
117	0.2074005116
118	0.2073410213
119	0.2072861349
120	0.2072193144
121	0.2071398191
122	0.2070252662
123	0.2069647989
124	0.2069169802
125	0.2068383884
126	0.2067932067
127	0.2067235946
128	0.2066982757
129	0.2066306785
130	0.2065492515
131	0.2064816578
132	0.2064100436
133	0.2063725173
134	0.2062957287
135	0.2062352713
136	0.2061830811
137	0.2061223931
138	0.2060699222
139	0.2060081015
140	0.2059414294
141	0.2058630622
142	0.2058120636
143	0.2057533588
144	0.2056997981
145	0.2056533776
146	0.2056246916
147	0.2055411854
148	0.2054901701
149	0.2054422148
150	0.2053937586
151	0.2053740971
152	0.2053288524
153	0.2052866331
154	0.2052355458
155	0.2051538645
156	0.2051045625
157	0.205039348
158	0.2049875854
159	0.2049260837
160	0.2048529207
161	0.2048100851
162	0.2047467015
163	0.2046917383
164	0.2046355022
165	0.2046021852
166	0.2045764694
167	0.2045662687
168	0.20448444
169	0.2044039355
170	0.2043313934
171	0.204275856
172	0.2042086116
173	0.2041803732
174	0.2041391453
175	0.204091722
176	0.2040443139
177	0.2040053273
178	0.2039501976
179	0.2039268143
180	0.203866745
181	0.2038132683
182	0.2037614461
183	0.2037223661
184	0.2036820977
185	0.2036284247
186	0.203571122
187	0.2035083851
188	0.2034702241
189	0.203450777
190	0.2034110778
191	0.2033918801
192	0.2033383952
193	0.2033196298
194	0.203274713
195	0.2032240969
196	0.2031730509
197	0.2030799626
198	0.2030625839
199	0.2030365055
