iter	Passed	Remaining
0	3	618
1	6	607
2	9	631
3	10	530
4	13	536
5	17	559
6	20	574
7	24	583
8	27	589
9	31	592
10	34	594
11	38	597
12	41	600
13	45	603
14	48	602
15	52	602
16	55	600
17	59	598
18	62	595
19	65	593
20	69	591
21	70	571
22	71	552
23	73	537
24	74	521
25	76	509
26	77	495
27	78	482
28	80	471
29	81	460
30	82	448
31	83	440
32	85	430
33	86	421
34	87	412
35	88	404
36	90	397
37	91	391
38	94	390
39	98	392
40	111	432
41	112	424
42	113	415
43	117	416
44	119	410
45	121	405
46	122	399
47	125	397
48	129	397
49	132	397
50	136	397
51	139	397
52	142	396
53	146	396
54	150	396
55	153	395
56	157	394
57	160	393
58	164	392
59	167	391
60	171	390
61	174	389
62	178	388
63	186	396
64	188	392
65	192	390
66	195	388
67	201	390
68	203	385
69	210	390
70	213	387
71	217	387
72	220	384
73	224	382
74	227	379
75	231	377
76	234	374
77	238	372
78	245	375
79	248	372
80	251	369
81	254	366
82	258	364
83	261	361
84	265	358
85	266	353
86	268	348
87	270	344
88	273	341
89	277	338
90	280	335
91	283	333
92	287	330
93	290	327
94	294	325
95	297	322
96	301	320
97	302	315
98	304	310
99	305	305
100	306	300
101	308	296
102	309	291
103	310	286
104	312	282
105	316	280
106	319	277
107	322	275
108	326	272
109	329	269
110	333	267
111	336	264
112	350	269
113	354	267
114	357	263
115	358	259
116	359	255
117	360	250
118	362	246
119	363	242
120	364	238
121	365	233
122	367	229
123	368	225
124	371	222
125	374	219
126	377	217
127	381	214
128	384	211
129	387	208
130	391	206
131	394	203
132	395	199
133	397	195
134	398	191
135	399	188
136	401	184
137	402	180
138	403	177
139	405	173
140	406	169
141	407	166
142	408	163
143	410	159
144	411	155
145	412	152
146	413	149
147	415	145
148	416	142
149	417	139
150	422	137
151	425	134
152	428	131
153	432	129
154	436	126
155	439	124
156	443	121
157	446	118
158	452	116
159	455	113
160	458	111
161	462	108
162	465	105
163	469	102
164	472	100
165	475	97
166	479	94
167	480	91
168	481	88
169	482	85
170	484	82
171	485	79
172	486	75
173	488	72
174	489	69
175	490	66
176	492	63
177	493	61
178	497	58
179	500	55
180	503	52
181	507	50
182	511	47
183	514	44
184	518	42
185	521	39
186	525	36
187	530	33
188	532	30
189	533	28
190	536	25
191	539	22
192	543	19
193	546	16
194	549	14
195	552	11
196	556	8
197	559	5
198	562	2
199	568	0
